ncbi,genome,description,gid,ncbi_taxonomy
35,gn:T01558,"mfu, 35; Corallococcus macrosporus HW-1 (Myxococcus fulvus HW-1)",mfu,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Myxococcales;f__Myxococcaceae;g__Corallococcus;s__Corallococcus macrosporus
1208920,gn:T02471,"kon, 1208920; Candidatus Kinetoplastibacterium oncopeltii TCC290E, endosymbiont of Strigomonas oncopelti",kon,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Kinetoplastibacterium;s__Candidatus Kinetoplastibacterium oncopeltii
1208921,gn:T02466,"kga, 1208921; Candidatus Kinetoplastibacterium galatii TCC219, endosymbiont of Strigomonas galati",kga,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Kinetoplastibacterium;s__Candidatus Kinetoplastibacterium galatii
1208922,gn:T02463,"kbt, 1208922; Candidatus Kinetoplastibacterium blastocrithidii TCC012E, endosymbiont of Strigomonas culicis",kbt,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Kinetoplastibacterium;s__Candidatus Kinetoplastibacterium blastocrithidii
1208923,gn:T02427,"kbl, 1208923; Candidatus Kinetoplastibacterium blastocrithidii, endosymbiont of Strigomonas culicis",kbl,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__;f__;g__Candidatus Kinetoplastibacterium;s__Candidatus Kinetoplastibacterium blastocrithidii
1209989,gn:T01495,"tep, 1209989; Tepidanaerobacter acetatoxydans Re1",tep,d__Bacteria;p__Firmicutes;c__Clostridia;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__Tepidanaerobacter;s__Tepidanaerobacter acetatoxydans
1209989,gn:T02434,"tae, 1209989; Tepidanaerobacter acetatoxydans Re1",tae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Thermosediminibacterales;f__Tepidanaerobacteraceae;g__Tepidanaerobacter;s__Tepidanaerobacter acetatoxydans
1210884,gn:T06634,"gms, 1210884; Gemmata massiliana Soil9",gms,d__Bacteria;p__Planctomycetes;c__Planctomycetia;o__Gemmatales;f__Gemmataceae;g__Gemmata;s__Gemmata massiliana
1211579,gn:T02707,"ppun, 1211579; Pseudomonas putida NBRC 14164",ppun,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida
1211705,gn:T02409,"vpb, 1211705; Vibrio parahaemolyticus BB22OP",vpb,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio parahaemolyticus
1211776,gn:T02302,"cjb, 1211776; Campylobacter jejuni subsp. jejuni NCTC 11168-BN148",cjb,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Campylobacteraceae;g__Campylobacter;s__Campylobacter jejuni
1212491,gn:T03771,"lfa, 1212491; Legionella fallonii LLAP-10",lfa,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Legionellales;f__Legionellaceae;g__Legionella;s__Legionella fallonii
1212765,gn:T02329,"mhl, 1212765; Candidatus Mycoplasma haemolamae Purdue",mhl,d__Bacteria;p__Tenericutes;c__Mollicutes;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mycoplasma;s__Candidatus Mycoplasma haemolamae
1214101,gn:T02518,"sdv, 1214101; Streptomyces davaonensis JCM 4913 (Streptomyces davawensis JCM 4913)",sdv,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces davaonensis
1214242,gn:T02787,"sci, 1214242; Streptomyces collinus Tu 365",sci,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptomycetales;f__Streptomycetaceae;g__Streptomyces;s__Streptomyces collinus
1214604,gn:T04994,"tab, 1214604; Tumebacillus algifaecis THMBR28",tab,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Alicyclobacillaceae;g__Tumebacillus;s__Tumebacillus algifaecis
1215031,gn:T06692,"ntm, 1215031; Neobacillus thermocopriae DUT50_236",ntm,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Neobacillus;s__Neobacillus thermocopriae
1215088,gn:T02389,"ppuh, 1215088; Pseudomonas putida HB3267",ppuh,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas putida
1215089,gn:T04473,"phc, 1215089; Planococcus halocryophilus DSM 24743",phc,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Planococcaceae;g__Planococcus;s__Planococcus halocryophilus
1215343,gn:T02395,"lcc, 1215343; Liberibacter crescens BT-1",lcc,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Liberibacter;s__Liberibacter crescens
1216932,gn:T03165,"clt, 1216932; Clostridium bornimense M2/40 (Clostridium sp. M2/40)",clt,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium bornimense
1216962,gn:T02626,"hhm, 1216962; Helicobacter heilmannii ASB1.4",hhm,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter heilmannii
1216976,gn:T02964,"axn, 1216976; Achromobacter xylosoxidans NBRC 15126 = ATCC 27061",axn,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Alcaligenaceae;g__Achromobacter;s__Achromobacter xylosoxidans
1217721,gn:T03215,"dja, 1217721; Dyella japonica A8",dja,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Xanthomonadales;f__Rhodanobacteraceae;g__Dyella;s__Dyella japonica
1217737,gn:T02411,"btn, 1217737; Bacillus thuringiensis HD-789",btn,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus thuringiensis
1217984,gn:T02291,"bcer, 1217984; Bacillus cereus FRI-35",bcer,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus cereus
1218175,gn:T02293,"bti, 1218175; Bacillus thuringiensis HD-771",bti,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus thuringiensis
1218176,gn:T02308,"cpsb, 1218176; Chlamydia psittaci 84/55",cpsb,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia psittaci
1218315,gn:T07095,"bio, 1218315; Brucella inopinata 141012304",bio,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Brucellaceae;g__Brucella;s__Brucella inopinata
1218353,gn:T02309,"cpsg, 1218353; Chlamydia psittaci GR9",cpsg,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia psittaci
1218354,gn:T02311,"cpsi, 1218354; Chlamydia psittaci MN",cpsi,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia psittaci
1218355,gn:T02312,"cpsv, 1218355; Chlamydia psittaci VS225",cpsv,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia psittaci
1218356,gn:T02314,"cpst, 1218356; Chlamydia psittaci WS/RT/E30",cpst,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia psittaci
1218357,gn:T02310,"cpsm, 1218357; Chlamydia psittaci M56",cpsm,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia psittaci
1218358,gn:T02313,"cpsw, 1218358; Chlamydia psittaci WC",cpsw,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia psittaci
1218493,gn:T06382,"lkl, 1218493; Lactobacillus kullabergensis ESL0186",lkl,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus kullabergensis
1218494,gn:T06906,"lhs, 1218494; Lactobacillus helsingborgensis ESL0183",lhs,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus helsingborgensis
1218801,gn:T06371,"kan, 1218801; Kordia antarctica IMCC3317",kan,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Kordia;s__Kordia antarctica
1218933,gn:T02320,"pcc, 1218933; Pectobacterium carotovorum subsp. carotovorum PCC21",pcc,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Pectobacterium;s__Pectobacterium carotovorum
1219035,gn:T05741,"ntd, 1219035; Novosphingobium tardaugens NBRC 16725",ntd,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Novosphingobium;s__Novosphingobium tardaugens
1219058,gn:T04307,"ster, 1219058; Sphingopyxis terrae NBRC 15098 203-1",ster,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Sphingomonadales;f__Sphingomonadaceae;g__Sphingopyxis;s__Sphingopyxis terrae
1219067,gn:T04636,"vna, 1219067; Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759",vna,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio natriegens
1219076,gn:T02840,"vag, 1219076; Vibrio alginolyticus NBRC 15630 = ATCC 17749",vag,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Vibrionales;f__Vibrionaceae;g__Vibrio;s__Vibrio alginolyticus
1219491,gn:T06213,"actw, 1219491; Actinomadura sp. WMMB499",actw,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Thermomonosporaceae;g__Actinomadura;s__
1220533,gn:T02292,"bsq, 1220533; Bacillus subtilis QB928",bsq,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
1221328,gn:T03442,"bsut, 1221328; Bacillus subtilis subsp. subtilis AG1839",bsut,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
1221500,gn:T04282,"fpn, 1221500; Fictibacillus phosphorivorans G25-29",fpn,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Fictibacillus;s__Fictibacillus phosphorivorans
1221524,gn:T02804,"amz, 1221524; Amycolatopsis mediterranei RB",amz,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Pseudonocardiales;f__Pseudonocardiaceae;g__Amycolatopsis;s__Amycolatopsis mediterranei
1221877,gn:T02343,"cpsd, 1221877; Chlamydia psittaci 01DC12",cpsd,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia psittaci
1222016,gn:T05905,"ccha, 1222016; Caldicellulosiruptor changbaiensis CBS-Z",ccha,d__Bacteria;p__Firmicutes;c__Clostridia;o__Thermoanaerobacterales;f__;g__Caldicellulosiruptor;s__Caldicellulosiruptor changbaiensis
1222034,gn:T03786,"mhat, 1222034; Mannheimia haemolytica USDA-ARS-USMARC-184",mhat,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales;f__Pasteurellaceae;g__Mannheimia;s__Mannheimia haemolytica
1223503,gn:T06505,"ptb, 1223503; Parageobacillus toebii NBRC 107807 DSM 14590",ptb,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Parageobacillus;s__Parageobacillus toebii
1223515,gn:T03576,"chm, 1223515; Corynebacterium humireducens NBRC 106098 = DSM 45392",chm,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium humireducens
1223566,gn:T04273,"brc, 1223566; Bradyrhizobium sp. CCGE-LA001",brc,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bradyrhizobiaceae;g__Bradyrhizobium;s__
1223802,gn:T03591,"shd, 1223802; Sulfuritalea hydrogenivorans sk43H",shd,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Nitrosomonadales;f__Sterolibacteriaceae;g__Sulfuritalea;s__Sulfuritalea hydrogenivorans
1224162,gn:T03633,"cmq, 1224162; Corynebacterium marinum DSM 44953",cmq,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium marinum
1224163,gn:T02784,"cmd, 1224163; Corynebacterium maris DSM 45190",cmd,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium maris
1224164,gn:T03042,"cvt, 1224164; Corynebacterium vitaeruminis DSM 20294",cvt,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium vitaeruminis
1224746,gn:T02348,"goh, 1224746; Gluconobacter oxydans H24",goh,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Gluconobacter;s__Gluconobacter oxydans
1225179,gn:T02294,"bqr, 1225179; Bartonella quintana RM-11",bqr,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Bartonellaceae;g__Bartonella;s__Bartonella quintana
1225181,gn:T03369,"kph, 1225181; Klebsiella pneumoniae subsp. pneumoniae KPNIH24",kph,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Klebsiella;s__Klebsiella pneumoniae
1225522,gn:T02824,"sega, 1225522; Salmonella enterica subsp. enterica serovar Gallinarum/pullorum CDC1983-67",sega,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica
1225786,gn:T04410,"dso, 1225786; Dickeya solani IPO 2222",dso,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Pectobacteriaceae;g__Dickeya;s__Dickeya solani
1225788,gn:T02382,"bamp, 1225788; Bacillus velezensis AS43.3",bamp,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus velezensis
1226298,gn:T04768,"lpap, 1226298; Lactobacillus paracasei subsp. paracasei JCM 8130",lpap,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus paracasei
1226968,gn:T04409,"ahu, 1226968; Azospirillum humicireducens SgZ-5",ahu,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Rhodospirillaceae;g__Azospirillum;s__Azospirillum humicireducens
1227555,gn:T04013,"pyw, 1227555; Pyrobaculum sp. WP30",pyw,d__Archaea;p__Crenarchaeota;c__Thermoprotei;o__Thermoproteales;f__Thermoproteaceae;g__Pyrobaculum;s__
1227739,gn:T03055,"hsw, 1227739; Hymenobacter swuensis DY53",hsw,d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Hymenobacteraceae;g__Hymenobacter;s__Hymenobacter swuensis
1227812,gn:T03982,"psal, 1227812; Piscirickettsia salmonis LF-89",psal,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Piscirickettsiaceae;g__Piscirickettsia;s__Piscirickettsia salmonis
1228987,gn:T03622,"ceo, 1228987; Cyanobacterium endosymbiont of Epithemia turgida EtSB Lake Yunoko",ceo,d__Bacteria;p__Cyanobacteria;c__;o__;f__;g__;s__
1228997,gn:T02331,"rag, 1228997; Riemerella anatipestifer RA-CH-1",rag,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Weeksellaceae;g__Riemerella;s__Riemerella anatipestifer
1229205,gn:T02300,"bpx, 1229205; Paraburkholderia phenoliruptrix BR3459a, endosymbiont of Mimosa flocculosa",bpx,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Paraburkholderia;s__Paraburkholderia phenoliruptrix
1229492,gn:T02339,"saub, 1229492; Staphylococcus aureus 08BA02176, livestock-associated methicillin-resistant",saub,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus
1229512,gn:T02525,"blp, 1229512; Blattabacterium cuenoti BPAA, endosymbiont of Panesthia angustipennis",blp,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Blattabacteriaceae;g__Blattabacterium;s__Blattabacterium cuenoti
1229621,gn:T05962,"arf, 1229621; Anaerostipes rhamnosivorans 1y2",arf,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Anaerostipes;s__Anaerostipes rhamnosivorans
1229726,gn:T04640,"gfl, 1229726; Gramella flava JLT2011",gfl,d__Bacteria;p__Bacteroidetes;c__Flavobacteriia;o__Flavobacteriales;f__Flavobacteriaceae;g__Gramella;s__Gramella flava
1229727,gn:T04656,"tpro, 1229727; Salipiger profundus JLT2016 (Thiobacimonas profunda JLT2016)",tpro,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Salipiger;s__Salipiger profundus
1229756,gn:T02322,"lge, 1229756; Leuconostoc gelidum JB7",lge,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__Leuconostoc gelidum
1229758,gn:T02321,"lcn, 1229758; Leuconostoc carnosum JB16",lcn,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Leuconostocaceae;g__Leuconostoc;s__Leuconostoc carnosum
1229785,gn:T02301,"bpq, 1229785; Burkholderia pseudomallei BPC006",bpq,d__Bacteria;p__Proteobacteria;c__Betaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Burkholderia;s__Burkholderia pseudomallei
1229831,gn:T03069,"cav, 1229831; Chlamydia avium 10DC88",cav,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia avium
1229908,gn:T02304,"nkr, 1229908; Candidatus Nitrosopumilus koreensis AR1",nkr,d__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Candidatus Nitrosopumilus koreensis
1229909,gn:T02303,"nir, 1229909; Candidatus Nitrosopumilus sediminis AR2",nir,d__Archaea;p__Thaumarchaeota;c__;o__Nitrosopumilales;f__Nitrosopumilaceae;g__Nitrosopumilus;s__Candidatus Nitrosopumilus sediminis
1230340,gn:T02416,"lmog, 1230340; Listeria monocytogenes serotype 4b LL195",lmog,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes
1230341,gn:T04359,"sje, 1230341; Salimicrobium jeotgali MJ3",sje,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Salimicrobium;s__Salimicrobium jeotgali
1230587,gn:T02332,"smi, 1230587; Sinorhizobium meliloti Rm41, endosymbiont of Melilotus and Medicago",smi,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium meliloti
1231072,gn:T02905,"ctet, 1231072; Clostridium tetani 12124569",ctet,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae;g__Clostridium;s__Clostridium tetani
1231624,gn:T04138,"abg, 1231624; Asaia bogorensis NBRC 16594",abg,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales;f__Acetobacteraceae;g__Asaia;s__Asaia bogorensis
1231626,gn:T02243,"che, 1231626; Cardinium sp. cEper1 (Cardinium hertigii cEper1), endosymbiont of Encarsia pergandiella",che,d__Bacteria;p__Bacteroidetes;c__Cytophagia;o__Cytophagales;f__Amoebophilaceae;g__Candidatus Cardinium;s__
1232381,gn:T02690,"cgs, 1232381; Corynebacterium glutamicum SCgG1",cgs,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum
1232383,gn:T02691,"cgg, 1232383; Corynebacterium glutamicum SCgG2",cgg,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__Corynebacterium glutamicum
1232385,gn:T04445,"bfv, 1232385; Brevibacterium flavum ZL-1",bfv,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Corynebacteriaceae;g__Corynebacterium;s__[Brevibacterium] flavum
1232394,gn:T02349,"fts, 1232394; Francisella tularensis subsp. holarctica F92",fts,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Thiotrichales;f__Francisellaceae;g__Francisella;s__Francisella tularensis
1232554,gn:T03443,"bsul, 1232554; Bacillus subtilis subsp. subtilis JH642 AG174",bsul,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
1232575,gn:T05847,"afj, 1232575; Acidithiobacillus ferridurans JCM 18981",afj,d__Bacteria;p__Proteobacteria;c__Acidithiobacillia;o__Acidithiobacillales;f__Acidithiobacillaceae;g__Acidithiobacillus;s__Acidithiobacillus ferridurans
1232724,gn:T02325,"mid, 1232724; Mycobacterium intracellulare subsp. intracellulare MTCC 9506 (Mycobacterium indicus pranii MTCC 9506)",mid,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Corynebacteriales;f__Mycobacteriaceae;g__Mycobacterium;s__Mycobacterium intracellulare
1233100,gn:T02459,"bsx, 1233100; Bacillus subtilis XF-1",bsx,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus subtilis
1233873,gn:T02455,"ggh, 1233873; Geobacillus sp. GHH01",ggh,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Geobacillus;s__
1234142,gn:T02513,"lmob, 1234142; Listeria monocytogenes N53-1 (serotype 1/2a)",lmob,d__Bacteria;p__Firmicutes;c__Bacilli;o__Bacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes
1234365,gn:T02317,"her, 1234365; Helicobacter pylori Rif1",her,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori
1234367,gn:T02854,"cpeo, 1234367; Chlamydia pecorum PV3056/3",cpeo,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia pecorum
1234368,gn:T02855,"cper, 1234368; Chlamydia pecorum W73",cper,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia pecorum
1234369,gn:T02853,"cpec, 1234369; Chlamydia pecorum P787",cpec,d__Bacteria;p__Chlamydiae;c__Chlamydiia;o__Chlamydiales;f__Chlamydiaceae;g__Chlamydia;s__Chlamydia pecorum
1234378,gn:T02437,"lir, 1234378; Lawsonia intracellularis N343",lir,d__Bacteria;p__Proteobacteria;c__Deltaproteobacteria;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Lawsonia;s__Lawsonia intracellularis
1234380,gn:T02330,"pacc, 1234380; Cutibacterium acnes C1 (Propionibacterium acnes C1)",pacc,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Propionibacteriales;f__Propionibacteriaceae;g__Cutibacterium;s__Cutibacterium acnes
1234596,gn:T02299,"bgn, 1234596; Borreliella garinii NMJW1 (Borrelia garinii NMJW1)",bgn,d__Bacteria;p__Spirochaetes;c__Spirochaetia;o__Spirochaetales;f__Borreliaceae;g__Borreliella;s__Borreliella garinii
1234600,gn:T02318,"hei, 1234600; Helicobacter pylori Rif2",hei,d__Bacteria;p__Proteobacteria;c__Epsilonproteobacteria;o__Campylobacterales;f__Helicobacteraceae;g__Helicobacter;s__Helicobacter pylori
1234603,gn:T02613,"meo, 1234603; Candidatus Moranella endobia PCVAL",meo,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Candidatus Moranella;s__Candidatus Moranella endobia
1234679,gn:T02342,"cml, 1234679; Carnobacterium maltaromaticum LMA28",cml,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Carnobacteriaceae;g__Carnobacterium;s__Carnobacterium maltaromaticum
1234841,gn:T05010,"muc, 1234841; Mucilaginibacter xinganensis BJC16-A31",muc,d__Bacteria;p__Bacteroidetes;c__Sphingobacteriia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Mucilaginibacter;s__Mucilaginibacter xinganensis
1235441,gn:T05022,"ngv, 1235441; Nocardiopsis gilva YIM 90087",ngv,d__Bacteria;p__Actinobacteria;c__Actinobacteria;o__Streptosporangiales;f__Nocardiopsaceae;g__Nocardiopsis;s__Nocardiopsis gilva
1235461,gn:T02405,"smeg, 1235461; Sinorhizobium meliloti GR4, endosymbiont of alfalfa",smeg,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Rhizobiaceae;g__Sinorhizobium;s__Sinorhizobium meliloti
1235591,gn:T04834,"psin, 1235591; Pseudorhodoplanes sinuspersici RIPI110",psin,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__;g__Pseudorhodoplanes;s__Pseudorhodoplanes sinuspersici
1235829,gn:T02335,"spya, 1235829; Streptococcus pyogenes A20 (serotype M1)",spya,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus pyogenes
1235834,gn:T03601,"ksa, 1235834; Kosakonia sacchari SP1",ksa,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kosakonia;s__Kosakonia sacchari
1235990,gn:T02865,"hhs, 1235990; Candidatus Pantoea carbekii, endosymbiont of Halyomorpha halys",hhs,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea;s__Candidatus Pantoea carbekii
1235990,gn:T03853,"pck, 1235990; Candidatus Pantoea carbekii US",pck,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales;f__Erwiniaceae;g__Pantoea;s__Candidatus Pantoea carbekii
